Round,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0,0,3,0,16,32,0,18,5,0,0,23,0,0,0,0,18,0
3,57,0,4,0,9,6,0,7,1,0,0,4,0,0,0,0,43,0
5,93,0,5,0,5,1,0,0,0,0,0,1,0,0,0,0,4,0
7,97,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,97,0,5,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0
11,97,0,4,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0
13,98,7,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
15,97,9,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1
17,97,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
19,97,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
21,98,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
23,98,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
25,98,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
27,98,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
29,98,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
31,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
33,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
35,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
37,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
39,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
41,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
43,98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
45,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
47,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
49,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
51,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
53,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
55,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
57,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
59,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
61,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
63,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
65,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
67,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
69,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
71,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
73,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
75,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
77,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
79,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
81,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
83,99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
85,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
87,99,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
89,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
91,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
93,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
95,99,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
97,99,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
